word,meaning,type,level,sentence,sentence_cn,phonetic
beautiful,美丽的,形容词_gen,A1,This flower is more beautiful than that one.,这朵花比那朵更美丽。,/ˈbjuːtɪfl/
black,黑色的,形容词_opp,A1,The night is blacker than the day.,夜晚比白天更黑。,/blæk/
bright,明亮的,形容词_opp,A1,The sun is brighter than the moon.,太阳比月亮更亮。,/braɪt/
brown,棕色的,形容词_opp,A1,Her hair is darker brown than mine.,她的头发比我的棕色更深。,/braʊn/
clean,干净的,形容词_opp,A1,The floor is cleaner than the wall.,地板比墙壁更干净。,/kliːn/
clear,清楚的,形容词_opp,A1,Her voice is clearer than his.,她的声音比他的更清晰。,/klɪr/
early,早的,形容词_opp,A1,You are earlier than me today.,你今天比我更早。,/ˈɜːrli/
fat,胖的,形容词_opp,A1,The cat is fatter than the dog.,这只猫比狗更胖。,/fæt/
first,第一的,形容词_opp,A1,She is the first in her class.,她是班里的第一名。,/fɜːrst/
full,满的,形容词_opp,A1,The glass is full of water.,杯子里装满了水。,/fʊl/
good,好的,形容词_opp,A1,This book is better than that one.,这本书比那本更好。,/ɡʊd/
great,伟大的,形容词_opp,A1,The great tree is taller than the others.,这棵大树比其他树更高。,/ɡreɪt/
grey,灰色的,形容词_opp,A1,The sky is greyer today than yesterday.,今天的天空比昨天更灰。,/ɡreɪ/
happy,快乐的,形容词_opp,A1,She is happier than her sister.,她比她姐姐更快乐。,/ˈhæpi/
hard,硬的/困难的,形容词_opp,A1,This stone is harder than wood.,这块石头比木头更硬。,/hɑːrd/
high,高的,形容词_opp,A1,The mountain is higher than the hill.,山比丘陵更高。,/haɪ/
important,重要的,形容词_opp,A1,This matter is more important than that one.,这件事比那件更重要。,/ɪmˈpɔːrtnt/
kind,和善的,形容词_opp,A1,She is kinder than her mother.,她比她母亲更和善。,/kaɪnd/
like,相似的,形容词_opp,A1,The two pictures are very like each other.,这两幅画非常相似。,/laɪk/
long,长的,形容词_opp,A1,The river is longer than the road.,这条河比这条路更长。,/lɔːŋ/
new,新的,形容词_opp,A1,The new house is bigger than the old one.,新房子比旧房子更大。,/nuː/
open,开着的,形容词_opp,A1,The door is open.,门是开着的。,/ˈoʊpən/
poor,贫穷的,形容词_opp,A1,They are poorer than their neighbors.,他们比邻居更穷。,/pʊr/
present,现在的/在场的,形容词_opp,A1,The present situation is difficult.,现在的情况很困难。,/ˈpreznt/
quick,快的,形容词_opp,A1,The rabbit is quicker than the turtle.,兔子比乌龟更快。,/kwɪk/
quiet,安静的,形容词_opp,A1,The library is quieter than the street.,图书馆比街道更安静。,/ˈkwaɪət/
ready,准备好的,形容词_opp,A1,I am ready for the test.,我准备好考试了。,/ˈredi/
red,红色的,形容词_opp,A1,Her dress is redder than mine.,她的裙子比我的更红。,/red/
right,正确的/右边的,形容词_opp,A1,Your answer is more right than mine.,你的答案比我的更正确。,/raɪt/
round,圆形的,形容词_opp,A1,The ball is rounder than the box.,球比盒子更圆。,/raʊnd/
same,相同的,形容词_opp,A1,The two books are the same.,这两本书是一样的。,/seɪm/
second,第二的,形容词_opp,A1,She is the second in her class.,她是班里的第二名。,/ˈsekənd/
strong,强壮的,形容词_opp,A1,He is stronger than his brother.,他比他哥哥更强壮。,/strɔːŋ/
sweet,甜的,形容词_opp,A1,This apple is sweeter than that one.,这个苹果比那个更甜。,/swiːt/
